date,amount,description,transaction_type,reference_id
2024-01-05,5200.00,Monthly Salary - January,credit,SAL-2024-001
2024-01-06,-45.50,Starbucks Coffee Morning,debit,TXN-2024-001
2024-01-07,-1200.00,Apartment Rent Payment,debit,RENT-2024-001
2024-01-08,-85.30,Walmart Grocery Shopping,debit,TXN-2024-002
2024-01-09,-12.99,Netflix Monthly Subscription,debit,SUB-2024-001
2024-01-10,-55.00,Shell Gas Station Fuel,debit,TXN-2024-003
2024-01-11,-150.00,Amazon Electronics Purchase,debit,AMZ-2024-001
2024-01-12,-35.80,Uber Ride Downtown,debit,UBER-2024-001
2024-01-13,-22.50,Chipotle Lunch,debit,TXN-2024-004
2024-01-14,200.00,Freelance Payment Received,credit,FRL-2024-001
2024-01-15,-9.99,Spotify Premium Subscription,debit,SUB-2024-002
2024-01-16,-180.00,Electric Bill Payment,debit,UTIL-2024-001
2024-01-17,-65.00,Doctor Visit Co-pay,debit,MED-2024-001
2024-01-18,-42.30,Target Shopping,debit,TXN-2024-005
2024-01-19,-28.00,Movie Theater Tickets,debit,ENT-2024-001
2024-01-20,-95.00,Internet Bill - Comcast,debit,UTIL-2024-002
2024-01-21,-500.00,Mutual Fund SIP Investment,debit,INV-2024-001
2024-01-22,-15.00,Uber Eats Food Delivery,debit,TXN-2024-006
2024-01-23,-3500.00,Unexpected Medical Emergency,debit,MED-2024-002
2024-01-24,-33.50,Gas Station Chevron,debit,TXN-2024-007
2024-01-25,5200.00,Monthly Salary - January Bonus,credit,SAL-2024-002
2024-01-26,-75.00,Gym Membership Monthly,debit,SUB-2024-003
2024-01-27,-120.00,Restaurant Dinner - Birthday,debit,TXN-2024-008
2024-01-28,-8.50,Venmo Transfer to Friend,debit,P2P-2024-001
2024-01-29,-250.00,Flight Ticket - Business Trip,debit,TXN-2024-009
2024-01-30,-18.99,Udemy Course Purchase,debit,EDU-2024-001
2024-02-01,-1200.00,Apartment Rent Payment,debit,RENT-2024-002
2024-02-02,-62.40,Costco Bulk Shopping,debit,TXN-2024-010
2024-02-03,350.00,Cashback Reward Credit,credit,REW-2024-001
2024-02-04,-45.00,Parking Monthly Pass,debit,TXN-2024-011
2024-02-05,5200.00,Monthly Salary - February,credit,SAL-2024-003
2024-02-06,-89.99,Amazon Prime Annual,debit,SUB-2024-004
2024-02-07,-155.00,Car Insurance Payment,debit,INS-2024-001
2024-02-08,-12000.00,Suspicious Large Transfer,debit,TXN-2024-012
2024-02-09,-25.00,Zelle Transfer Payment,debit,P2P-2024-002
2024-02-10,-67.80,Pharmacy Prescription,debit,MED-2024-003
